train_loss,val_rmse
3823.0493362349303,41.0703902886931
1812.5543166417156,41.08766656479566
1808.1151048689323,41.098615474847584
1813.4183764772367,41.09118040920551
1813.3528947394511,41.062911853631235
1821.400593868972,41.06074787274509
1810.3550684585184,41.10360315745115
1802.738571244448,40.675347094861216
694.2286236758159,16.401631878186468
306.7489088610344,13.999799782309042
284.7719091812366,13.102930422550545
271.55241858777663,15.444106110671747
275.2394099743838,13.163978161338852
266.9803699164221,14.136400571434374
258.98240475727215,14.795087622457928
257.9927030456853,12.94224521517094
253.1021620852088,13.12484654836414
258.93488892685946,14.364590867750346
249.91814457462525,12.72067072570539
251.8881296070699,12.698868188837174
245.2238678907985,13.538111090318562
246.81271536580198,13.381394851416676
254.183097645716,13.39587421939992
238.95181628774264,12.834158755774052
248.08425031942764,12.913713380095
242.24980162606022,13.169980171154169
245.34634984205218,13.224323030540928
243.50700393909125,12.762411583903361
242.7592678166888,13.373740399845056
242.42304799036327,12.548471228525283
240.55043169205564,12.664008556002411
235.8776277261337,12.535547894059405
240.61794982404274,12.438741998944327
240.92370528012967,12.729914621655924
240.67555504038853,13.198263439519351
235.45719411046372,13.535201342252085
236.12201961769065,12.913822852632531
236.58569823908928,12.608220852356231
241.84810766229774,12.53917729690624
239.8004590339467,13.198565527610114
236.35827795503104,12.670805321892121
230.7365774551624,12.312472315981445
229.2427594722225,12.401022242830336
247.2688147888571,12.533336757387207
235.36931226701302,13.614910062222485
235.06457852591112,12.14692062442639
233.03025817871094,14.482438399343394
229.90277657291006,12.828789031312477
223.78476258098777,12.657264918775029
233.76584609752985,14.040675039702434
